TABLE CRVSiPM
#channel,pedestal,calibPulseHeight,calibPulseArea
650,2041.61,16.9366,485.627
651,2053.33,16.6117,525.75
652,2051.15,16.5937,473.359
653,2034.65,15.6639,484.294
654,2049.51,16.3261,436.966
655,2041.75,14.3074,391.69
656,2057.45,18.3484,601.879
657,2026.86,17.906,518.207
658,2037.64,17.7981,580.698
659,2045.63,16.2115,482.969
660,2039.39,17.4308,528.49
661,2048.04,17.4947,502.878
662,2055.85,17.5972,515.092
663,2042.46,17.7288,497.154
664,2039.6,18.4013,587.447
665,2040.2,16.7801,492.13
666,2041.17,18.9302,649.454
667,2055.45,17.1861,513.125
668,2049.54,17.6094,525.206
669,2031.74,15.8177,463.601
670,2045.4,17.8872,525.916
671,2041.05,16.5901,485.682
672,2044.81,16.0238,461.178
673,2042.94,16.2918,466.416
674,2045.3,16.5458,469.571
675,2042.19,15.0977,437.764
676,2044.98,16.3827,444.105
677,2023.9,16.4249,464.455
678,2038.6,16.1981,421.772
679,2059.94,15.1874,434.784
680,2062.19,16.5264,465.612
681,2046.95,16.5145,479.728
682,2051.26,16.1079,465.693
683,2060.6,15.4693,455.037
684,2062.16,15.4945,423.903
685,2046.14,16.2217,462.359
686,2030.25,15.7794,438.567
687,2043.3,15.8982,459.744
688,2047.34,15.7146,465.472
689,2044.65,17.6756,502.499
690,2043.36,15.2339,440.06
691,2042.64,17.5983,500.792
692,2066.5,15.6117,440.93
693,2052.83,17.7131,489.295
694,2051.35,15.8887,441.388
695,2052.85,17.148,492.496
696,2036.58,16.0057,455.542
697,2043.19,17.1734,511.814
698,2052.27,16.0078,459.092
699,2038.76,16.5712,488.41
700,2051.4,16.4873,465.709
701,2040.92,17.5261,492.616
702,2056.54,15.9903,446.58
703,2047.15,16.8155,491.735
704,2055.79,15.3709,433.642
705,2039.58,18.3019,519.606
706,2045.46,14.9281,423.708
707,2026.28,16.785,483.914
708,2046.81,15.023,410.484
709,2042.38,18.122,507.457
710,2047.7,14.4721,400.634
711,2048.91,17.113,490.554
712,2053.15,15.262,439.366
713,2034.89,18.0902,517.158
714,2047.44,14.2356,418.811
715,2039.97,16.4968,480.694
716,2044.15,15.2005,430.387
717,2060.88,17.5121,507.629
718,2043.54,13.4664,393.411
719,2061.56,18.0808,520.002
720,2057.76,16.3211,472.094
721,2054.4,16.9034,493.026
722,2037.22,16.1489,464.141
723,2042.88,18.2565,521.873
724,2035.96,15.1732,426.321
725,2046.73,17.6402,500.518
726,2036.96,15.5328,426.3
727,2041.83,17.5951,499.922
728,2055.59,16.6577,474.868
729,2055.22,18.0736,516.983
730,2037.22,16.3825,474.631
731,2038.59,18.1833,519.119
732,2037.1,15.8614,467.624
733,2041.36,16.7382,484.546
734,2039.81,16.6788,474.79
735,2046.34,17.775,508.919
736,2033.75,12.428,362.412
737,2052.84,15.401,452.39
738,2053.67,12.884,379.265
739,2049.01,16.1186,464.052
740,2055.72,12.9362,365.679
