y   x   disk   phi   crate   board   sensor   BoardIdx   MBconn   ConnIdx   BoardChan   FEEchan   xcry   ycry   cryID   rouID   offID   Type
13   12   0   1   1   1   0   50   3   5   11   1011   497.4   -171.5   443   0   886   CAL
13   13   0   1   1   1   0   50   3   4   10   1010   531.7   -171.5   531   0   1062   CAL
13   14   0   1   1   1   0   50   3   3   9   1009   566   -171.5   600   0   1200   CAL
13   15   0   1   1   1   0   50   3   2   8   1008   600.2   -171.5   648   0   1296   CAL
14   0   0   0   1   0   0   8   5   3   17   177   -617.4   -137.2   664   0   1328   CAL
14   1   0   0   1   0   0   8   4   4   14   174   -583.1   -137.2   620   0   1240   CAL
14   2   0   0   1   0   0   8   3   5   11   171   -548.8   -137.2   562   0   1124   CAL
14   3   0   0   1   0   0   8   3   2   8   168   -514.5   -137.2   481   0   962   CAL
14   4   0   0   1   1   0   10   1   5   3   203   -480.2   -137.2   388   0   776   CAL
14   5   0   0   1   1   0   10   1   4   2   202   -445.9   -137.2   293   0   586   CAL
14   6   0   0   1   1   0   10   1   3   1   201   -411.6   -137.2   204   0   408   CAL
14   7   0   0   1   1   0   10   1   2   0   200   -377.3   -137.2   121   0   242   CAL
14   8   0   1   1   1   0   50   5   5   19   1019   377.3   -137.2   90   0   180   CAL
14   9   0   1   1   1   0   50   5   4   18   1018   411.6   -137.2   170   0   340   CAL
14   10   0   1   1   1   0   50   5   3   17   1017   445.9   -137.2   256   0   512   CAL
14   11   0   1   1   1   0   50   5   2   16   1016   480.2   -137.2   348   0   696   CAL
14   12   0   1   1   0   0   48   3   4   10   970   514.5   -137.2   442   0   884   CAL
14   13   0   1   1   0   0   48   2   5   7   967   548.8   -137.2   530   0   1060   CAL
14   14   0   1   1   0   0   48   2   2   4   964   583.1   -137.2   599   0   1198   CAL
14   15   0   1   1   0   0   48   1   3   1   961   617.4   -137.2   647   0   1294   CAL
15   0   0   0   1   0   0   8   5   2   16   176   -600.2   -102.9   621   0   1242   CAL
15   1   0   0   1   0   0   8   4   3   13   173   -566   -102.9   563   0   1126   CAL
15   2   0   0   1   0   0   8   3   4   10   170   -531.7   -102.9   482   0   964   CAL
15   3   0   0   1   0   0   8   2   5   7   167   -497.4   -102.9   389   0   778   CAL
15   4   0   0   1   0   0   8   2   3   5   165   -463   -102.9   294   0   588   CAL
15   5   0   0   1   0   0   8   1   5   3   163   -428.8   -102.9   205   0   410   CAL
15   6   0   0   1   0   0   8   1   3   1   161   -394.5   -102.9   122   0   244   CAL
15   7   0   1   1   0   0   48   5   3   17   977   394.5   -102.9   89   0   178   CAL
15   8   0   1   1   0   0   48   4   5   15   975   428.8   -102.9   169   0   338   CAL
15   9   0   1   1   0   0   48   4   3   13   973   463   -102.9   255   0   510   CAL
15   10   0   1   1   0   0   48   3   5   11   971   497.4   -102.9   347   0   694   CAL
15   11   0   1   1   0   0   48   3   2   8   968   531.7   -102.9   441   0   882   CAL
15   12   0   1   1   0   0   48   2   3   5   965   566   -102.9   529   0   1058   CAL
15   13   0   1   1   0   0   48   1   4   2   962   600.2   -102.9   598   0   1196   CAL
16   0   0   0   1   0   0   8   4   5   15   175   -617.4   -68.6   622   0   1244   CAL
16   1   0   0   1   0   0   8   4   2   12   172   -583.1   -68.6   564   0   1128   CAL
16   2   0   0   1   0   0   8   3   3   9   169   -548.8   -68.6   483   0   966   CAL
16   3   0   0   1   0   0   8   2   4   6   166   -514.5   -68.6   390   0   780   CAL
16   4   0   0   1   0   0   8   2   2   4   164   -480.2   -68.6   295   0   590   CAL
16   5   0   0   1   0   0   8   1   4   2   162   -445.9   -68.6   206   0   412   CAL
16   6   0   0   1   0   0   8   1   2   0   160   -411.6   -68.6   123   0   246   CAL
16   7   0   1   1   0   0   48   5   4   18   978   411.6   -68.6   88   0   176   CAL
16   8   0   1   1   0   0   48   5   2   16   976   445.9   -68.6   168   0   336   CAL
16   9   0   1   1   0   0   48   4   4   14   974   480.2   -68.6   254   0   508   CAL
